text,sentiment
I love the new features of this product! So amazing! #happy,1
This service is absolutely terrible. I want a refund.,0
Great experience today at the store. Staff was very helpful.,1
I'm so frustrated with the constant crashes. Worst app ever.,0
"Neutral feeling about the update. Some good, some bad.",0
Just had the best coffee of my life! @CoffeeShop #blessed,1
The delivery was late and the box was damaged. Not happy.,0
Really impressed with the customer support team. Fixed my issue in minutes!,1
I don't understand the hype. It's just okay.,0
Absolutely stunning visuals in the new movie. Highly recommend!,1
